ID,Módulo,Subseção,Arquivo,Suite,Nome do Teste,Autenticação,Rota,O que testa,Tipo,Implementado,Resultado Manual,Observações
TC-001,Home,—,home.spec.ts,Home (público),carrega a home com busca / serviços / mais acessados e navegação flutuante,Público,/,"Verifica que a home renderiza: campo de busca, heading Serviços, heading Mais acessados e links Home/Serviços/Carteira na nav inferior",Smoke,Sim,,
TC-002,Home,—,home.spec.ts,Home (público),header de visitante oferece login,Público,/,Header exibe o link 'Faça seu login' para usuário não autenticado,Conteúdo,Sim,,
TC-003,Home,—,home.spec.ts,Home (público),link Carteira na barra inferior aponta para fluxo de autenticação,Público,/,Link Carteira da nav inferior tem href='/autenticacao-necessaria/carteira' quando não logado,Navegação,Sim,,
TC-004,Home,—,home.spec.ts,Home (público),exibe banner de login (carteira / serviços municipais),Público,/,Banner 'Acesse sua carteira e os serviços municipais' aparece para visitante,Conteúdo,Sim,,
TC-005,Home,—,home.spec.ts,Home (público),exibe a seção Mais acessados e cards conhecidos,Público,/,"Seção Mais acessados exibe os cards 'IPTU 2026' e 'CADRio Agendamento'",Conteúdo,Sim,,
TC-006,Home,—,home.spec.ts,Home (público),exibe múltiplas categorias na grade de serviços,Público,/,"Grade de serviços exibe ao menos 3 categorias (cursos, cidade, educação, família, saúde, transporte, cultura)",Conteúdo,Sim,,
TC-007,Home,—,home.spec.ts,Home (público),não exibe a seção Carteira quando não autenticado,Público,/,Heading 'Carteira' não aparece na home para visitante,Conteúdo,Sim,,
TC-008,Home,—,home.spec.ts,Home (público),não exibe banner de atualização de cadastro do usuário logado,Público,/,Texto 'Atualize seu cadastro' não aparece para visitante,Conteúdo,Sim,,
TC-009,Home,—,home.spec.ts,Home (autenticado),carrega a home com mesma estrutura base,Autenticado,/,"Usuário logado vê: busca, heading Serviços e estrutura base da home",Smoke,Sim,,
TC-010,Home,—,home.spec.ts,Home (autenticado),header não pede login e leva ao perfil,Autenticado,/,Header não exibe 'Faça seu login' e mostra link para /meu-perfil,Conteúdo,Sim,,
TC-011,Home,—,home.spec.ts,Home (autenticado),link Carteira na barra inferior aponta para /carteira,Autenticado,/,Link Carteira da nav inferior tem href='/carteira' quando logado,Navegação,Sim,,
TC-012,Home,—,home.spec.ts,Home (autenticado),exibe banner de atualização de cadastro em vez do banner de login,Autenticado,/,Banner 'Atualize seu cadastro' aparece e banner de login não aparece para logado,Conteúdo,Sim,,
TC-013,Home,—,home.spec.ts,Home (autenticado),exibe Carteira ou estado de carteira vazia após carregar,Autenticado,/,Heading 'Carteira' ou texto de carteira vazia aparece na home do usuário logado,Smoke,Sim,,
TC-014,Serviços,—,servicos.spec.ts,Serviços,exibe textos principais na página de serviços,Público,/servicos,"Página /servicos exibe h1 'Serviços', heading 'Mais acessados' e heading 'Categorias'",Smoke,Sim,,
TC-015,Serviços,—,servicos.spec.ts,Serviços,ao clicar no card CADRio Agendamento exibe página do serviço,Público,/servicos → /servicos/[slug],"Clica no card 'CADRio Agendamento', verifica link 'Acessar serviço' e heading 'Principais informações' na página de detalhe",Navegação,Sim,,
TC-016,Serviços,—,servicos.spec.ts,Serviços,ao clicar na categoria Cidade exibe serviços e navega para detalhe,Público,/servicos → /servicos/categoria/cidade → /servicos/[slug],"Clica em Cidade, verifica URL /servicos/categoria/cidade e 'Mais acessados'; clica no 1º serviço e verifica página de detalhe",Fluxo,Sim,,
TC-017,Carteira,—,carteira.spec.ts,Carteira,exibe carteira com texto Carteira e CLÍNICA DA FAMÍLIA,Autenticado,/carteira,"Página /carteira exibe heading 'Carteira' e card 'CLÍNICA DA FAMÍLIA'",Smoke,Sim,,
